_id,title,slug,program,categoryLabel,status,cardImage,eventCardDate,eventCardCities,sortDate,sourceUrl,isFeaturedHome,isFeaturedProgram,isVisible,ticketPrimaryUrl,manualNotes
one-piece-piano-symphony-2024,ONE PIECE Piano Symphony,MANUAL,Anime and Gaming Concerts,Anime Concerts,past,https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80,23-25 JUL 2024,Perth · Adelaide,2024-07-25,https://www.castiglione.com.au/onepiecepianosymphony,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80; ticketPrimaryUrl optional/manual
lucid-fish-leong-2024,Fish Leong,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,JAN 2024,Sydney · Melbourne · Auckland,2024-01-25,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-comz-2023-2024,COM'Z,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,DEC 2023 / JAN 2024,Sydney · Melbourne · Singapore,2023-12-07,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
milos-classical-guitar,MILOŠ: The Classical Guitar Hero,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1524368535928-5b5e00ddc76b?auto=format&fit=crop&w=1200&q=80,05-12 NOV 2023,Sydney · Melbourne · Perth,2023-11-12,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1524368535928-5b5e00ddc76b?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
juan-diego-florez-2023,Juan Diego Flórez in Recital,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1507838153414-b4b713384a76?auto=format&fit=crop&w=1200&q=80,02-07 NOV 2023,Melbourne · Sydney · Canberra,2023-11-07,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1507838153414-b4b713384a76?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-kanho-yakushiji-2023,Kanho Yakushiji,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,OCT 2023,Sydney · Melbourne,2023-10-19,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-cicada-2023,Cicada,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,SEP 2023,Melbourne · Sydney,2023-09-21,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-showlo-2023,ShowLo,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,SEP 2023,Melbourne · Sydney,2023-09-09,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-xiaoxia-2023,XiaoXia,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,AUG 2023,Melbourne · Sydney,2023-08-17,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-a-mei-2023,A-Mei,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,JUL 2023,Melbourne · Sydney,2023-07-28,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
marilyn-the-woman-behind-the-icon,Marilyn - The Woman Behind the Icon,MANUAL,Touring Exhibition,Touring Exhibition,past,/media/our-touring-footprints.jpg,JUL 2023,Sydney,2023-07-01,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/our-touring-footprints.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-weibird-2023,WeiBird,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,JUN 2023,Sydney · Melbourne,2023-06-09,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-neongarden-2023,NeonGarden,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,MAY / JUN 2023,Melbourne · Sydney,2023-05-30,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-the-chairs-2023,The Chairs,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,MAY 2023,Sydney · Melbourne,2023-05-27,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-crowd-lu-2023,Crowd Lu,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,APR 2023,Brisbane · Melbourne · Sydney,2023-04-12,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
sonica-music-festival-2023,Sonica Music Festival,MANUAL,Live Music & Festival,Music Festival,past,/media/naruto-hero.jpg,MAR 2023,Melbourne,2023-03-01,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lucid-sunset-rollercoaster-2022,Sunset Rollercoaster,MANUAL,Live Music & Festival,Lucid Live,past,/media/naruto-hero.jpg,DEC 2022,Brisbane · Sydney · Melbourne,2022-12-12,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/naruto-hero.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
leonardo-da-vinci-taipei,The Man Behind the Myth - Leonardo Da Vinci TAIPEI,MANUAL,Touring Exhibition,Touring Exhibition,past,/media/our-touring-footprints.jpg,DEC 2022,TAIPEI,2022-12-01,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX: /media/our-touring-footprints.jpg; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
ray-chen-recital-2022,Ray Chen: In Recital,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80,06-13 AUG 2022,Melbourne · Adelaide · Brisbane · Perth,2022-08-13,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
mai-fujisawa-melody-of-japan,Mai Fujisawa: Melody of Japan,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80,14-16 NOV 2019,Melbourne · Sydney,2019-11-16,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lisa-ono-music-journey,Lisa Ono: Music Journey,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,17-22 SEP 2019,Adelaide · Sydney · Melbourne · Brisbane,2019-09-22,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
piano-battle,Piano Battle,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,25 AUG-01 SEP 2019,Melbourne · Brisbane · Sydney · Perth,2019-09-01,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
yiruma-2019-frame,Yiruma 2019: Frame,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,10-18 MAY 2019,Melbourne · Brisbane · Sydney,2019-05-18,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
yundi-li-sonata-world-tour,Yundi Li 2018 Australia Tour: Touch of Chopin,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,03-06 NOV 2018,Melbourne · Sydney,2018-11-06,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
maksim-mrvica-new-silk-road,Maksim Mrvica 2018 Australia Tour: Croatian Rhapsody,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,26-30 SEP 2018,Brisbane · Melbourne · Perth · Sydney,2018-09-30,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lisa-ono-la-vie-en-rose,Lisa Ono Australia Tour: La Vie En Rose,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,17-20 MAY 2018,Melbourne · Sydney · Brisbane,2018-05-20,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
peter-bence,Peter Bence,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,22 APR 2018,Sydney,2018-04-22,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
yiruma-oceania-tour,Yiruma Piano 2017 Oceania Tour: Autumn Rain,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,MAY / DEC 2017,Auckland · Sydney · Brisbane · Taipei,2017-12-14,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
shi-jin-melody-of-the-night,Shi Jin Piano Concert: Melody of the Night,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80,12-14 NOV 2017,Melbourne · Sydney,2017-11-14,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
lu-siqing-violin-concert-nostalgia,Lu Siqing Violin Concert: Nostalgia,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80,16-17 AUG 2016,Melbourne,2016-08-17,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
yiruma-piano-australia-tour-2016,Yiruma Piano 2016 Australia Tour: Kiss the Rain,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,26-31 JUL 2016,Adelaide · Melbourne · Sydney,2016-07-31,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
sheng-zhongguo,Sheng Zhongguo Violin Concert,MANUAL,Classical Concert & Theatre,Classical Concerts,past,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,03-04 JUL 2015,Melbourne,2015-07-04,OPTIONAL,true,true,true,OPTIONAL,slug requires editor confirmation; UPLOAD TO WIX or replace remote placeholder: https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80; sourceUrl optional/manual; ticketPrimaryUrl optional/manual
